MARCA,CATEGORIA,PRECIO_UNITARIO,NOMBRE,DESCRIPCION,FECHA_DE_COMPRA
Nvidia,Gráficas,499.99,GeForce RTX 3080,Tarjeta gráfica de alta gama,2023-01-05
Sony,Consolas,399.99,PlayStation 5,Consola de próxima generación,2023-01-10
Microsoft,Consolas,299.99,Xbox Series X,Consola de videojuegos,2023-01-15
Logitech,Periféricos,79.99,Teclado mecánico G Pro X,Teclado mecánico para juegos,2023-01-20
SteelSeries,Periféricos,49.99,Ratón inalámbrico Rival 650,Ratón de juego inalámbrico,2023-01-25
Razer,Periféricos,29.99,Auriculares Kraken,Auriculares con micrófono,2023-01-30
AMD,Procesadores,329.99,Ryzen 7 5800X,Procesador de alto rendimiento,2023-02-05
Asus,Monitores,249.99,Monitor Gaming VG279Q,Monitor Full HD,2023-02-10
Corsair,Periféricos,99.99,Mousepad MM300,Mousepad de tela para juegos,2023-02-15
Sony,Consolas,199.99,PlayStation 4,Consola de videojuegos,2023-02-20
Nvidia,Gráficas,599.99,GeForce RTX 3090,Tarjeta gráfica de gama alta,2023-02-25
Nvidia,Gráficas,799.99,GeForce RTX 3080 Ti,Tarjeta gráfica de alta gama,2023-03-05
Sony,Consolas,499.99,PlayStation 5 Pro,Consola de próxima generación,2023-03-10
Microsoft,Consolas,349.99,Xbox Series S,Consola de videojuegos,2023-03-15
Logitech,Periféricos,89.99,Teclado mecánico G Pro X2,Teclado mecánico para juegos,2023-03-20
SteelSeries,Periféricos,59.99,Ratón inalámbrico Rival 670,Ratón de juego inalámbrico,2023-03-25
Razer,Periféricos,39.99,Auriculares Kraken 2,Auriculares con micrófono,2023-03-30
AMD,Procesadores,379.99,Ryzen 7 5800X2,Procesador de alto rendimiento,2023-04-05
Asus,Monitores,299.99,Monitor Gaming VG279Q2,Monitor Full HD,2023-04-10
Corsair,Periféricos,119.99,Mousepad MM3002,Mousepad de tela para juegos,2023-04-15
Sony,Consolas,249.99,PlayStation 4 Pro,Consola de videojuegos,2023-04-20
Nvidia,Gráficas,699.99,GeForce RTX 3080 Super,Tarjeta gráfica de gama alta,2023-04-25
Nvidia,Gráficas,899.99,GeForce RTX 3080 Ti Super,Tarjeta gráfica de alta gama,2023-05-05
Sony,Consolas,599.99,PlayStation 5 Pro Plus,Consola de próxima generación,2023-05-10
Microsoft,Consolas,399.99,Xbox Series S Plus,Consola de videojuegos,2023-05-15
Logitech,Periféricos,99.99,Teclado mecánico G Pro X3,Teclado mecánico para juegos,2023-05-20
SteelSeries,Periféricos,69.99,Ratón inalámbrico Rival 690,Ratón de juego inalámbrico,2023-05-25
Razer,Periféricos,49.99,Auriculares Kraken 3,Auriculares con micrófono,2023-05-30
AMD,Procesadores,429.99,Ryzen 7 5800X3,Procesador de alto rendimiento,2023-06-05
Asus,Monitores,349.99,Monitor Gaming VG279Q3,Monitor Full HD,2023-06-10
Corsair,Periféricos,139.99,Mousepad MM3003,Mousepad de tela para juegos,2023-06-15
Sony,Consolas,279.99,PlayStation 4 Pro Plus,Consola de videojuegos,2023-06-20
Nvidia,Gráficas,799.99,GeForce RTX 3080 Super Plus,Tarjeta gráfica de gama alta,2023-06-25
Nvidia,Gráficas,499.99,GeForce RTX 3080,Tarjeta gráfica de alta gama,2023-01-05
Sony,Consolas,399.99,PlayStation 5,Consola de próxima generación,2023-01-10
Microsoft,Consolas,299.99,Xbox Series X,Consola de videojuegos,2023-01-15
Logitech,Periféricos,79.99,Teclado mecánico G Pro X,Teclado mecánico para juegos,2023-01-20
SteelSeries,Periféricos,49.99,Ratón inalámbrico Rival 650,Ratón de juego inalámbrico,2023-01-25
Razer,Periféricos,29.99,Auriculares Kraken,Auriculares con micrófono,2023-01-30
AMD,Procesadores,329.99,Ryzen 7 5800X,Procesador de alto rendimiento,2023-02-05
Asus,Monitores,249.99,Monitor Gaming VG279Q,Monitor Full HD,2023-02-10
Corsair,Periféricos,99.99,Mousepad MM300,Mousepad de tela para juegos,2023-02-15
Sony,Consolas,199.99,PlayStation 4,Consola de videojuegos,2023-02-20
Nvidia,Gráficas,599.99,GeForce RTX 3090,Tarjeta gráfica de gama alta,2023-02-25
Nvidia,Gráficas,799.99,GeForce RTX 3080 Ti,Tarjeta gráfica de alta gama,2023-03-05
Sony,Consolas,499.99,PlayStation 5 Pro,Consola de próxima generación,2023-03-10
Microsoft,Consolas,349.99,Xbox Series S,Consola de videojuegos,2023-03-15
Logitech,Periféricos,89.99,Teclado mecánico G Pro X2,Teclado mecánico para juegos,2023-03-20
